State,Capital city,Second city,Third city,Statehood,Capital since,Size rank
Alabama,Montgomery,Birmingham,Mobile,1819,1846,2
Alaska,Juneau,Anchorage,Fairbanks,1959,1906,3
Arizona,Phoenix,Tuscon,Mesa,1912,1889,1
Arkansas,Little Rock,Fayetteville,Hot Springs,1836,1821,1
California,Sacramento,Los Angeles,San Francisco,1850,1854,6
Colorado,Denver,Aspen,Canon City,1876,1867,1
Connecticut,Hartford,Ansonia,Bloomfield,1788,1875,3
Delaware,Dover,Milford,Newark,1787,1777,2
Florida,Tallahassee,Bedford,Gainesville ,1845,1824,7
Georgia,Atlanta,Johns Creek,Alpharetta,1788,1868,1
Hawaii,Honolulu,Laie,Waimea,1959,1845,1
Idaho,Boise,Caldwell,Blackfoot,1890,1865,1
Illinois,Springfield,Alton,Arthur,1818,1837,6
Indiana,Indianapolis,Bedford,Corydon,1816,1825,1
Iowa,Des Moines,Boone,Cedar Rapids,1846,1857,1
Kansas,Topeka,Emporia,Berea,1861,1856,4
Kentucky,Frankfort,Berea,Danville,1792,1792,14
Louisiana,Baton Rouge,Bastrop,Bogalusa,1812,1880,2
Maine,Augusta,Aubrun,Augusta,1820,1832,8
Maryland,Annapolis,Bowie,Cambridge,1788,1694,7
Massachusetts,Boston,Adams,Amesbury,1788,1630,1
Michigan,Lansing,Alma,Ann Arbor,1837,1847,5
Minnesota,Saint Paul,Austin,Ely,1858,1849,2
Mississippi,Jackson,Biloxi,Corinth,1817,1821,1
Missouri,Jefferson City,Boonville,Clayton,1821,1826,15
Montana,Helena,Butte,Billon,1889,1875,6
Nebraska,Lincoln,Boys Town,Chadron,1867,1867,2
Nevada,Carson City,Ely,Elko,1864,1861,6
New Hampshire,Concord,Berlin,Dover,1788,1808,3
New Jersey,Trenton,Edison,Clifton,1787,1784,10
New Mexico,Santa Fe,Acoma,Belen,1912,1610,4
New York,Albany,Corning,Dunkirk,1788,1797,6
North Carolina,Raleigh,Asheboro,Charlotte,1789,1792,2
North Dakota,Bismarck,Rugby,Williston,1889,1883,2
Ohio,Columbus,Akron,Alliance ,1803,1816,1
Oklahoma,Oklahoma City,Adams,Altus,1907,1910,1
Oregon,Salem,Burns,Coos Bay,1859,1855,3
Pennsylvania,Harrisburg,York,Warren,1787,1812,9
Rhode Island,Providence,Birstol,Cranston,1790,1900,1
South Carolina,Columbia,Union,Sumter,1788,1786,2
South Dakota,Pierre,Yankton,Watertown,1889,1889,8
Tennessee,Nashville,Norris,Morristown,1796,1826,1
Texas,Austin,Borger,Houston,1845,1839,4
Utah,Salt Lake City,Vernal,Tooele,1896,1858,1
Vermont,Montpelier,Essex,Newport,1791,1805,6
Virginia,Richmond,Winchester,Williamsburg,1788,1780,4
Washington,Olympia,Aberdeen,Centralia,1889,1853,24
West Virginia,Charleston,Williamson,Wheeling,1863,1885,1
Wisconsin,Madison,Appleton,Ashland,1848,1838,2
Wyoming,Cheyenne,Buffalo,Casper,1890,1869,1
